Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
3940.0,6.4,0.39,0.21,1.2,41.0,35.0,136.0,0.99225,3.15,0.46,10.2,0.0
1655.0,7.5,0.305,0.4,18.9,59.0,44.0,170.0,1.0,2.99,0.46,9.0,0.0
1867.0,6.3,0.28,0.3,3.1,39.0,24.0,115.0,0.9942,3.05,0.43,8.6,0.0
4476.0,7.4,0.18,0.3,10.4,45.0,44.0,174.0,0.9966,3.11,0.57,9.7,1.0
453.0,6.9,0.2,0.36,1.5,31.0,38.0,147.0,0.9931,3.35,0.56,11.0,1.0
3297.0,6.7,0.16,0.34,1.6,26.0,27.0,109.0,0.9934,3.34,0.58,10.1,1.0
2574.0,7.5,0.21,0.34,6.4853371592539455,0.06,26.0,111.0,0.9931,3.51,0.47,10.7,1.0
4103.0,7.2,0.23,0.39,14.2,58.0,49.0,192.0,0.9979,2.98,0.48,9.0,1.0
3405.0,6.3,0.3,0.34,1.6,49.0,14.0,132.0,0.994,3.3,0.49,9.5,1.0
2924.0,7.0,0.14,0.32,9.0,39.0,54.0,141.0,0.9956,3.22,0.43,9.4,1.0
722.0,6.0,0.32,0.3,1.3,25.0,18.0,112.0,0.9880200000000001,3.07,0.64,13.3,1.0
2202.0,9.2,0.24991804376782947,0.23,6.2,42.0,15.0,93.0,0.9948,2.89,0.34,10.1,1.0
2020.0,8.1,0.27,0.41,1.45,33.0,11.0,63.0,0.9908,2.99,0.56,12.0,0.0
723.0,6.7,0.14,0.51,4.3,28.0,57.0,124.0,0.9917600000000001,2.91,0.54,10.7,1.0
3865.0,7.6,0.31,0.26,1.7,73.0,40.0,157.0,0.9938,3.1,0.46,9.8,0.0
1337.0,6.2,0.53,0.02,0.9,35.0,6.0,81.0,0.99234,3.24,0.35,9.5,0.0
2949.0,6.9,0.19,0.35,6.9,45.0,51.0,125.0,0.9933,3.1,0.44,10.7,1.0
2231.0,7.8,0.2843853604136372,0.6,5.602755776128561,74.0,8.0,160.0,0.9945634515534287,3.39,0.69,11.7,1.0
2624.0,7.3,0.3,0.74,13.5,39.0,46.0,165.0,0.9982,3.185919655667145,0.4,8.7,0.0
2832.0,6.1,0.45,0.27,0.8,39.0,13.0,82.0,0.9927,3.23,0.32,9.5,0.0
492.0,6.1,0.36,0.27,2.1,35.0,16.0,100.0,0.9917,3.4,0.71,11.5,1.0
2255.0,6.3,0.48,0.48,1.8,35.0,35.0,96.0,0.99121,3.49,0.74,12.2,1.0
752.0,7.9,0.2790789096126255,0.46,10.6,47.92362690288177,33.0,227.0,0.9983,2.87,0.74,9.1,0.0
1988.0,9.2,0.32,0.42,1.3,46.0,14.0,186.0,0.9949,3.08,0.48,9.6,0.0
